ServicesCentreID,Title,Address1,Address2,City,ProvinceID,PostalCode,Lat,Lon,StoreFront,EnglishService,FrenchService,Phone,Fax,Email,Website,OpeningHours,CatchmentAreaID,ServicesCentreContractorID,LegacyURL
82,Kamloops,100-275 Lansdowne Street,,Kamloops,2,V2C 1X8,50.676597,-120.334881,1,1,1,250 434-9441,250 343-9442,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:30 am to 4:30 pm, Monday to Friday",36,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
83,Kamloops,795 Tranquille Road,,Kamloops,2,V2B 3J3,50.698721,-120.363384,2,1,0,250 377-3670,250 377-3685,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:30 am to 4:30 pm, Monday to Friday",36,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
84,Chase,822 Shuswap Avenue,,Chase,2,V0E 1M0,50.820294,-119.687648,3,1,0,250 679-8448,250 679-8117,chaseemployment@cablelan.net,http://www.ChaseEmployment.ca/,"9:00 am to 4:30 pm, Monday to Friday9:00 am to 4:15 pm, daily - Computer Lab Closed on Statutory Holidays",12,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
85,Ashcroft,124th 4th Street,,Ashcroft,2,V0K 1A0,50.725925,-121.280474,1,1,0,250 453-9421,250 453-9834,ashcroft@hortonventures.com,http://www.hortonventures.com/,8:30 am to 4:30 pm,4,34,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
86,Merritt,2099 Quilchena Avenue,,Merritt,2,V1K 1A4,50.109745,-120.787512,1,1,0,250 378-5151,250 378-5156,info@communityfutures.net,http://www.communityfutures.net/,8:30 am to 4:30 pm,47,35,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
87,Quesnel,Suite 100 488 McLean Street,,Quesnel,2,V2J 2P2,52.980601,-122.495616,1,1,0,250 992-7691,250 992-7692,Reception@ QuesnelEmplymentServices.com,http://www.quesnelemploymentservices.com/,"8:30 am to 4:30 pm, Monday to Friday",69,36,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
88,Williams Lake,281 – 1st Avenue,,NorthWilliams Lake,2,V2G 1Y7,52.13242,-122.146714,1,1,0,250 398-5133,250 398-5103,inquiries@hortonventures.com,http://www.hortonventures.com/,"8:30 am to 5:00 pm, Monday to Friday Closed for lunch 12-1 Tuesday",102,34,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
89,Williams Lake,808 Alpine Avenue 100 Mile House,,Williams Lake,2,V0K 2E0,51.635089,-121.299661,2,1,0,250 398-5121,250 398-5131,employ@hortonventures.com,http://www.hortonventures.com/,"8:30 am to 4:30 pm, Monday to Friday",103,34,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
90,Bella Coola,750 Bentink Avenue,,Bella Coola,2,V0T 1C0,52.372187,-126.759793,3,1,0,250 799-5811,250 799-5818,ls_cc@belco.bc.ca,http://www.hortonventures.com/,"11:00 am to 4:00 pm, Monday to Thursday",6,41,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
91,Valemount,1201 Fifth Avenue,,Valemount,2,V0E 2Z0,52.832069,-119.264481,1,1,0,250-566-4601,250-566-4602,frontdesk@valemountlearningcentre.org,http://www.valemountlearningcentre.org/,"8:30 am to 4:30 pm, Monday to Friday, Closed for weekends and stat holidays",91,37,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
92,McBride,942 Third Avenue,,McBride,2,V0J 2E0,53.302712,-120.167682,2,1,0,250 569-2266,250 569-2200,rvssmcbride@telus.net,http://www.robsonvalleysupportsociety.org/,"8:30 am to 4:30 pm, Monday to Friday",46,38,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
93,Prince George,1511 3rd Avenue,,Prince George,2,V2L 3G3,53.917886,-122.749199,1,1,1,250-596-2517,250-596-2928,pges@pges.ca,http://www.pges.ca/,"8:30 am to 4:30 pm, Monday to Friday",66,39,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
94,Vanderhoof,139 First Street,,East Vanderhoof,2,V0J 3A0,54.013962,-124.009737,1,1,0,250 567-5785,250 567-5784,info@pesl.ca,http://www.pesl.ca/,"8:30 am to 5:00 pm, Monday to Friday",98,40,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
95,Burns Lake,Unit C - 132 Francois Lake Drive,,Burns Lake,2,V0J 1E1,54.233415,-125.763613,2,1,0,250 692-4219,250 692-4237,Halley.Finch@WorkBC-BurnsLake.com,http://www.pesl.ca/,"9:00 am to 4:00 pm, Monday to Friday",10,40,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
96,Smithers,1330 Main Street,,Smithers,2,V0J 2N3,54.781776,-127.166979,1,1,0,250 847-0182,250 847-2657,info@WorkBC-Smithers.com,http://www.WorkBC-Smithers.com/,"8:30 am to 4:30 pm, Monday to Friday 8:30 am to 7:00 pm, Wednesday",78,32,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
97,Houston,"3400 - 11th Street, Bag 2000",,Houston,2,V0J 1Z0,54.397997,-126.648209,2,1,0,250-847-0182,1-877-947-0182,CherylAnn.Stahel@WorkBC-Smithers.com,http://www.WorkBC-Smithers.com/,"8:30 am to 4:30 pm, Monday to Friday, Closed for lunch 12:30-1:30, 9:30 am to 3:30, Thursday, Self Serve on Site",34,32,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
98,The Kitimat Community Services Society,562 Mountainview Square,,Kitimat,2,V8C 2N2,54.050551,-128.650969,1,1,0,250-632-6581,250-632-6561,esc.kcss@telus.net,http://www.kitimatcommunityservices.ca/,"8:30 am to 4:30 pm, Monday to Friday",39,44,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
99,Terrace,201 4622 Greig Avenue,,Terrace,2,V8G 1M9,54.515861,-128.588613,1,1,0,250-638-8108,250-638-7212,workbc-mass@hseds.ca,http://www.usdc.bc.ca/,"8:30 am to 4:30 pm, Monday to Friday",87,45,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
100,Hazelton,4345 Field Street,,Hazelton,2,V0J 1Y0,55.256499,-127.675246,2,1,0,250 842-6110,250 845-2282,esc.kcss@telus.net,http://www.usdc.bc.ca/,"8:30 am to 4:30 pm, Monday to Friday",32,46,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
101,Haida Gwaii,1730 Hodges Street,,Masset,2,V0T 1M0,54.012127,-132.14253,1,1,0,250-626-3236,250-626-3260,workbc-mass@hseds.ca,http://www.hseds.ca/,"8:30 am to 4:30 pm, Monday to Friday",31,47,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
102,Queen Charlotte City,101 Causeway Box 907,,Queen Charlotte City,2,V0T 1S0,53.252783,-132.07115,2,1,0,250 559-0049,250 559-7709,workbc-qcc@hseds.ca,http://www.hseds.ca/,"8:30 am to 4:30 pm, Monday to Friday",68,47,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
103,Prince Rupert,125 Market Place,,Prince Rupert,2,V8J 1B9,54.316919,-130.320802,1,1,0,250-624-9498,250-627-4397,workbc-pr@hseds.ca,http://www.hseds.ca/,"8:30 am to 4:30 pm, Monday to Friday",67,47,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
104,Mackenzie,540 Mackenzie Boulevard,,Mackenzie,2,V0J 2C0,55.340268,-123.09468,1,1,0,250 997-7208,250 997-7219,workbc@cnc.bc.ca,http://www.workbcmackenzie.ca/,8:30 am to 4:30 pm,44,48,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
105,Dawson Creek,1105 – 103 Avenue,,Dawson Creek,2,V1G 2G8,55.758295,-120.232103,1,1,0,250 782-8744,250 782-8018,info@jobsearchonline.bc.ca,http://www.jobsearchonline.bc.ca/,8:30 am to 4:30 pm,21,49,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
106,Fort St. John,"101, 9907-99 Avenue",,Fort St. John,2,V1J 1V1,56.2454,-120.847036,1,1,0,250 787-0024,250 787-0028,MI@pris.ca,http://www.jobsearchonline.bc.ca/,"8:30 am to 4:30 pm, Monday to Friday Closed all Statutory Holidays",28,51,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
107,Fort Nelson,5008 49th Avenue,,Fort Nelson,2,V0C 1R0,58.803266,-122.701397,1,1,0,250 774-3114,250 774-3768,fnemployment@northwestel.net,http://www.fortnelsonemployment.ca/,"ca
8:30 am to 5:00 pm, Monday to Friday Open throughout the lunch hour",27,52,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
